                                                         Byte Former Results on CIFAR-10 Dataset:
batch_size    learning_rate   num_epochs   lambda_reg     d_model    n_head    num_layers    embed_dim     kernel_size     stride     train(%)  test(%)
  128           0.0005          20         0.00005         96         3           3            96             32            16        48.92     34.53
  128           0.0005          20         0.0001          96         3           3            96             32            16        50.42     35.80
  128           0.0005          20         0.0005          96         3           3            96             32            16        53.37     33.47
  128           0.0005          20         0.001           96         3           3            96             32            16        53.97     34.88
  128           0.0005          20         0.002           96         3           3            96             32            16        46.06     34.05
  128           0.0005          20         0.003           96         3           3            96             32            16        33.22     24.93
  128           0.0005          20         0.005           96         3           3            96             32            16        25.76     23.72
  128           0.0005          20         0               96         3           3            96             32            16        48.60     36.29
  128           0.00005         20         0               96         3           3            96             32            16        43.49     35.05
  128           0.00005         50         0               96         3           3            96             32            16        61.65     35.75
  128           0.0001          20         0               96         3           3            96             32            16        53.51     36.48
  128           0.0001          20         0.0001          96         3           3            96             32            16        54.34     37.16
  128           0.0001          50         0.0001          96         3           3            96             32            16        69.47     34.29














